CIS #,Profile,Recommendation,Status,Policy,Setting definition ID,Configured value,vs v4.0.0,Notes
1.3.1,Level 1,Ensure 'Configure local setting override for reporting to Microsoft MAPS' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Defender Antivirus - D - ADMX Configuration - v1.0.0,device_vendor_msft_policy_config_admx_microsoftdefenderantivirus_spynet_localsettingoverridespynetreporting,Configure local setting override for reporting to Microsoft MAPS = Disabled,New,
1.3.2,Level 1,Ensure 'Configure the 'Block at First Sight' feature' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Defender Antivirus - D - ADMX Configuration - v1.0.0,device_vendor_msft_policy_config_admx_microsoftdefenderantivirus_disableblockatfirstseen,Configure the 'Block at First Sight' feature = Enabled,New,
1.8.1,Level 1,Ensure 'Turn on process scanning whenever real-time protection is enabled' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Defender Antivirus - D - ADMX Configuration - v1.0.0,device_vendor_msft_policy_config_admx_microsoftdefenderantivirus_realtimeprotection_disablescanonrealtimeenable,Turn on process scanning whenever real-time protection is enabled = Enabled,New,
1.10.1,Level 2,Ensure 'Configure Watson events' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Defender Antivirus - D - ADMX Configuration - v1.0.0,device_vendor_msft_policy_config_admx_microsoftdefenderantivirus_reporting_disablegenericreports,Configure Watson events = Disabled,New,
1.14,Level 1,Ensure 'Turn off routine remediation' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Defender Antivirus - D - ADMX Configuration - v1.0.0,device_vendor_msft_policy_config_admx_microsoftdefenderantivirus_disableroutinelytakingaction,Turn off routine remediation = Disabled,New,
2.1,Level 1,Ensure 'Allow Archive Scanning' is set to 'Allowed' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_allowarchivescanning,Allow Archive Scanning = Allowed. Scans the archive files.,Changed,
2.2,Level 1,Ensure 'Allow Behavior Monitoring' is set to 'Allowed' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_allowbehaviormonitoring,Allow Behavior Monitoring = Allowed. Turns on real-time behavior monitoring.,Changed,
2.3,Level 1,Ensure 'Allow Cloud Protection' is set to 'Allowed' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_allowcloudprotection,Allow Cloud Protection = Allowed. Turns on Cloud Protection.,Changed,
2.4,Level 1,Ensure 'Allow Email Scanning' is set to 'Allowed' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_allowemailscanning,Allow Email Scanning = Allowed. Turns on email scanning.,Changed,
2.5,Level 1,Ensure 'Allow Full Scan Removable Drive Scanning' is set to 'Allowed' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_allowfullscanremovabledrivescanning,Allow Full Scan Removable Drive Scanning = Allowed. Scans removable drives.,Changed,
2.6,Level 1,Ensure 'Allow On Access Protection' is set to 'Allow' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_allowonaccessprotection,Allow On Access Protection = Allowed.,New,
2.7,Level 1,Ensure 'Allow Realtime Monitoring' is set to 'Allowed' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_allowrealtimemonitoring,Allow Realtime Monitoring = Allowed. Turns on and runs the real-time monitoring service.,Changed,
2.8,Level 1,Ensure 'Allow scanning of all downloaded files and attachments' is set to 'Allowed' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_allowioavprotection,Allow scanning of all downloaded files and attachments = Allowed.,Changed,
2.9,Level 1,Ensure 'Allow Script Scanning' is set to 'Allowed' (Automated),In policy,Win - CDW Baseline - ES - CIS L1 - Defender Antivirus - D - Antivirus Configuration - v1.0.0,device_vendor_msft_policy_config_defender_allowscriptscanning,Allow Script Scanning = Allowed.,Changed,
