CIS #,Profile,Recommendation,Status,Policy,Setting definition ID,Configured value,vs v4.0.0,Notes
1.1,L1,Ensure 'Allow Cortana Above Lock' is set to 'Block' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Login and Lock Screen - v5.0.0,device_vendor_msft_policy_config_abovelock_allowcortanaabovelock,Allow Cortana Above Lock = Block,Changed,
1.2,L1,Ensure 'Allow Toasts' is set to 'Block' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Login and Lock Screen - v5.0.0,device_vendor_msft_policy_config_abovelock_allowtoasts,Allow Toasts = Block,New,
4.1.3.1,L1,Ensure 'Prevent enabling lock screen camera' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Login and Lock Screen - v5.0.0,device_vendor_msft_policy_config_devicelock_preventenablinglockscreencamera,Prevent enabling lock screen camera = Enabled,Unchanged,
4.1.3.2,L1,Ensure 'Prevent enabling lock screen slide show' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Login and Lock Screen - v5.0.0,device_vendor_msft_policy_config_devicelock_preventlockscreenslideshow,Prevent enabling lock screen slide show = Enabled,Unchanged,
4.4.1,L1,Ensure 'Apply UAC restrictions to local accounts on network logons' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_mssecurityguide_applyuacrestrictionstolocalaccountsonnetworklogon,Apply UAC restrictions to local accounts on network logons = Enabled,Unchanged,
4.4.2,L1,Ensure 'Configure SMB v1 client driver' is set to 'Enabled: Disable driver (recommended)' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_mssecurityguide_configuresmbv1clientdriver,Configure SMB v1 client driver = Enabled [Configure MrxSmb10 driver = Disable driver (recommended)],Unchanged,
4.4.3,L1,Ensure 'Configure SMB v1 server' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_mssecurityguide_configuresmbv1server,Configure SMB v1 server = Disabled,Unchanged,
4.4.4,L1,Ensure 'Enable Structured Exception Handling Overwrite Protection (SEHOP)' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_mssecurityguide_enablestructuredexceptionhandlingoverwriteprotection,Enable Structured Exception Handling Overwrite Protection (SEHOP) = Enabled,Unchanged,
4.4.5,L1,Ensure 'WDigest Authentication' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_mssecurityguide_wdigestauthentication,WDigest Authentication (disabling may require KB2871997) = Disabled,New,
4.5.1,L1,Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_mss-legacy_pol_mss_autoadminlogon,MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended) = Disabled,New,
4.5.2,L1,"Ensure 'MSS: (DisableIPSourceRouting IPv6) IP source routing protection level (protects against packet spoofing)' is set to 'Enabled: Highest protection, source routing is completely disabled' (Automated)",In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_msslegacy_ipv6sourceroutingprotectionlevel,"MSS: (DisableIPSourceRouting IPv6) IP source routing protection level (protects against packet spoofing) = Enabled [DisableIPSourceRoutingIPv6 (Device) = Highest protection, source routing is completely disabled]",Unchanged,
4.5.3,L1,"Ensure 'MSS: (DisableIPSourceRouting) IP source routing protection level (protects against packet spoofing)' is set to 'Enabled: Highest protection, source routing is completely disabled' (Automated)",In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_msslegacy_ipsourceroutingprotectionlevel,"MSS: (DisableIPSourceRouting) IP source routing protection level (protects against packet spoofing) = Enabled [DisableIPSourceRouting (Device) = Highest protection, source routing is completely disabled]",Unchanged,
4.5.4,L2,Ensure 'MSS: (DisableSavePassword) Prevent the dial-up password from being saved (recommended)' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_mss-legacy_pol_mss_disablesavepassword,MSS: (DisableSavePassword) Prevent the dial-up passsword from being saved (recommended) = Enabled,New,
4.5.5,L1,Ensure 'MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_msslegacy_allowicmpredirectstooverrideospfgeneratedroutes,MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes = Disabled,Unchanged,
4.5.6,L2,"Ensure 'MSS: (KeepAliveTime) How often keep-alive packets are sent in milliseconds' is set to 'Enabled: 300,000 or 5 minutes (recommended)' (Automated)",In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_mss-legacy_pol_mss_keepalivetime,MSS: (KeepAliveTime) How often keep-alive packets are sent in milliseconds = Enabled [KeepAliveTime (Device) = 300000 or 5 minutes (recommended) ],New,
4.5.7,L1,Ensure 'MSS: (NoNameReleaseOnDemand) Allow the computer to ignore NetBIOS name release requests except from WINS servers' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_msslegacy_allowthecomputertoignorenetbiosnamereleaserequestsexceptfromwinsservers,MSS: (NoNameReleaseOnDemand) Allow the computer to ignore NetBIOS name release requests except from WINS servers = Enabled,Unchanged,
4.5.8,L2,Ensure 'MSS: (PerformRouterDiscovery) Allow IRDP to detect and configure Default Gateway addresses (could lead to DoS)' is set to 'Disabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L2 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_mss-legacy_pol_mss_performrouterdiscovery,MSS: (PerformRouterDiscovery) Allow IRDP to detect and configure Default Gateway addresses (could lead to DoS) = Disabled,New,
4.5.9,L1,Ensure 'MSS: (SafeDllSearchMode) Enable Safe DLL search mode (recommended)' is set to 'Enabled' (Automated),In policy,Win - CDW Baseline - SC - CIS L1 - Device Security - D - Security Hardening - v5.0.0,device_vendor_msft_policy_config_admx_mss-legacy_pol_mss_safedllsearchmode,MSS: (SafeDllSearchMode) Enable Safe DLL search mode (recommended) = Enabled,New,
