"TemplateId","TemplateFamily","TemplateName","TemplateVersion","SettingDefinitionId","InstanceTemplateId","Depth","ParentSettingId"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"device_vendor_msft_passportforwork_{tenantid}","0ece2bdc-57c1-4be9-93e9-ac9c395a9c94","0",
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"device_vendor_msft_passportforwork_{tenantid}_policies_enablepinrecovery","f7ac8ff7-1b26-469b-9872-00d68961fdc5","1","device_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"device_vendor_msft_passportforwork_{tenantid}_policies_enablewindowshelloprovisioningforsecuritykeys","33797583-0e17-45da-91a3-fc9bb2c90397","1","device_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"device_vendor_msft_passportforwork_{tenantid}_policies_pincomplexity_expiration","12816cea-7bcf-4590-99c1-597b7251c78c","1","device_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"device_vendor_msft_passportforwork_{tenantid}_policies_pincomplexity_history","845a8118-ef88-49d8-af32-b2fb83ed0cbd","1","device_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"device_vendor_msft_passportforwork_{tenantid}_policies_pincomplexity_lowercaseletters","c1fab7a9-7281-48c6-9536-1d16cb4cf713","1","device_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"device_vendor_msft_passportforwork_{tenantid}_policies_pincomplexity_maximumpinlength","2d8fc854-546c-4199-9434-126e5f3d2c60","1","device_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"device_vendor_msft_passportforwork_{tenantid}_policies_pincomplexity_minimumpinlength","9dade1ec-a4c7-4764-9532-651525ee4fe5","1","device_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"device_vendor_msft_passportforwork_{tenantid}_policies_pincomplexity_specialcharacters","91d1ff28-9d07-4f12-a3dc-50a6a5a2286d","1","device_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"device_vendor_msft_passportforwork_{tenantid}_policies_pincomplexity_uppercaseletters","9410f030-c2a7-4305-9610-0f6b385ee5c2","1","device_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"device_vendor_msft_passportforwork_{tenantid}_policies_requiresecuritydevice","04df0c8b-5d87-494e-865e-6bfeef5a24a5","1","device_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"device_vendor_msft_passportforwork_{tenantid}_policies_usecertificateforonpremauth","13dacbf9-3967-4165-bab4-d45ccf92d046","1","device_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"device_vendor_msft_passportforwork_{tenantid}_policies_usepassportforwork","4023eea0-5289-42de-a970-9b5759460de4","1","device_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"device_vendor_msft_passportforwork_biometrics_facialfeaturesuseenhancedantispoofing","9a29ce6b-fae8-4785-bbfe-3311f14aa88f","0",
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"device_vendor_msft_policy_config_deviceguard_lsacfgflags","66850271-9a32-4ec5-9dbd-1f57294c258f","0",
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"user_vendor_msft_passportforwork_{tenantid}","7b19da4c-18c1-44c6-a422-2e928d376c4f","0",
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"user_vendor_msft_passportforwork_{tenantid}_policies_enablepinrecovery","15ad3bd8-9971-4976-a6cc-c64e95bf0d7a","1","user_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"user_vendor_msft_passportforwork_{tenantid}_policies_pincomplexity_expiration","72cb951a-e99d-4a55-abf4-20997a3e7fe8","1","user_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"user_vendor_msft_passportforwork_{tenantid}_policies_pincomplexity_history","167e7d5c-cfdd-47d9-aec6-916a792040ab","1","user_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"user_vendor_msft_passportforwork_{tenantid}_policies_pincomplexity_lowercaseletters","f9e419e3-7a8b-4df0-b7ac-26e5882aae83","1","user_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"user_vendor_msft_passportforwork_{tenantid}_policies_pincomplexity_maximumpinlength","2bb9754e-228f-4da5-99fd-05b661f885c1","1","user_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"user_vendor_msft_passportforwork_{tenantid}_policies_pincomplexity_minimumpinlength","9a7863fe-afba-4746-bd33-c8b7d07f5560","1","user_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"user_vendor_msft_passportforwork_{tenantid}_policies_pincomplexity_specialcharacters","c6bf6335-0601-45a5-9010-6f5677af7144","1","user_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"user_vendor_msft_passportforwork_{tenantid}_policies_pincomplexity_uppercaseletters","6c48fe3c-cf67-4ab1-b9fd-0f9286e1800d","1","user_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"user_vendor_msft_passportforwork_{tenantid}_policies_requiresecuritydevice","7644ca26-c6ef-462a-9170-7dee4b45c6cb","1","user_vendor_msft_passportforwork_{tenantid}"
"fcef01f2-439d-4c3f-9184-823fd6e97646_1","endpointSecurityAccountProtection","Account Protection",,"user_vendor_msft_passportforwork_{tenantid}_policies_usepassportforwork","ac89a853-79f9-43d6-b8e4-084eeb21de0c","1","user_vendor_msft_passportforwork_{tenantid}"
"adc46e5a-f4aa-4ff6-aeff-4f27bc525796_1","endpointSecurityAccountProtection","Local admin password solution (Windows LAPS)",,"device_vendor_msft_laps_policies_administratoraccountname","d3d7d492-0019-4f56-96f8-1967f7deabeb","0",
"adc46e5a-f4aa-4ff6-aeff-4f27bc525796_1","endpointSecurityAccountProtection","Local admin password solution (Windows LAPS)",,"device_vendor_msft_laps_policies_automaticaccountmanagementenabled","0d70f6fb-8f35-4fba-8ada-494b8a478703","0",
"adc46e5a-f4aa-4ff6-aeff-4f27bc525796_1","endpointSecurityAccountProtection","Local admin password solution (Windows LAPS)",,"device_vendor_msft_laps_policies_backupdirectory","a3270f64-e493-499d-8900-90290f61ed8a","0",
"adc46e5a-f4aa-4ff6-aeff-4f27bc525796_1","endpointSecurityAccountProtection","Local admin password solution (Windows LAPS)",,"device_vendor_msft_laps_policies_passwordcomplexity","8a7459e8-1d1c-458a-8906-7b27d216de52","0",
"adc46e5a-f4aa-4ff6-aeff-4f27bc525796_1","endpointSecurityAccountProtection","Local admin password solution (Windows LAPS)",,"device_vendor_msft_laps_policies_passwordlength","da7a1dbd-caf7-4341-ab63-ece6f994ff02","0",
"adc46e5a-f4aa-4ff6-aeff-4f27bc525796_1","endpointSecurityAccountProtection","Local admin password solution (Windows LAPS)",,"device_vendor_msft_laps_policies_postauthenticationactions","d9282eb1-d187-42ae-b366-7081f32dcfff","0",
"adc46e5a-f4aa-4ff6-aeff-4f27bc525796_1","endpointSecurityAccountProtection","Local admin password solution (Windows LAPS)",,"device_vendor_msft_laps_policies_postauthenticationresetdelay","a9e21166-4055-4042-9372-efaf3ef41868","0",
"22968f54-45fa-486c-848e-f8224aa69772_1","endpointSecurityAccountProtection","Local user group membership",,"device_vendor_msft_policy_config_localusersandgroups_configure","de06bec1-4852-48a0-9799-cf7b85992d45","0",
"22968f54-45fa-486c-848e-f8224aa69772_1","endpointSecurityAccountProtection","Local user group membership",,"device_vendor_msft_policy_config_localusersandgroups_configure_groupconfiguration_accessgroup","76fa254e-cbdb-4718-8bdd-cd41e57caa02","1","device_vendor_msft_policy_config_localusersandgroups_configure"
"22968f54-45fa-486c-848e-f8224aa69772_1","endpointSecurityAccountProtection","Local user group membership",,"device_vendor_msft_policy_config_localusersandgroups_configure_groupconfiguration_accessgroup_action","6c55c2ff-5ff9-4b08-a9b9-3fd2e2ce8405","2","device_vendor_msft_policy_config_localusersandgroups_configure_groupconfiguration_accessgroup"
"22968f54-45fa-486c-848e-f8224aa69772_1","endpointSecurityAccountProtection","Local user group membership",,"device_vendor_msft_policy_config_localusersandgroups_configure_groupconfiguration_accessgroup_desc","6c7f2209-31aa-4853-a49f-985264ce91ef","2","device_vendor_msft_policy_config_localusersandgroups_configure_groupconfiguration_accessgroup"
